Robot,Distance [m],Levels,Cargo [kg],Elevation [m],Battery Level,Time of Day [h],Battery Error,Energy [kJ]
R2,158.17,3,3.39,12,0.34502321018316606,6.88,0,4.98928
R2,299.49,2,5.21,8,0.9120439493228936,5.64,0,10.83234
R2,272.79,3,0.97,12,0.5803899596155097,17.01,0,5.93676
R1,90.66,3,6.63,12,0.7247845869634636,21.48,0,4.01887
R1,60.0,4,3.32,16,0.737088182980559,9.78,0,5.52222
R2,59.76,2,4.85,8,0.6475797577803463,18.97,0,2.42757
R1,166.61,3,3.55,12,0.7191507679822622,5.54,0,5.677
R1,192.4,4,2.27,16,0.7867625700632985,14.78,0,14.93706
R2,193.53,3,7.15,12,0.9170962780181927,19.27,0,8.8798
R1,188.97,2,2.3,8,0.6353400160955223,20.04,0,5.8482
R1,185.38,1,0.0,4,0.4778763084604758,10.24,0,12.9788
R2,191.48,1,6.24,4,0.6803775623683879,22.45,0,7.73955
R1,239.69,2,1.81,8,0.7662677497295668,11.79,0,17.66888
R2,210.73,3,4.57,12,0.2446689597517432,13.42,0,13.30308
R2,277.28,2,1.24,8,0.5474227263988843,7.43,0,6.23259
R1,87.41,4,2.72,16,0.6700361896461096,4.69,0,3.33488
R2,102.25,2,7.39,8,0.7310449457784112,12.36,0,7.59462
R2,156.26,4,0.0,16,0.5182680412453788,14.83,0,7.65155
R2,59.41,3,6.54,12,0.555678869751235,5.58,0,2.98021
R1,229.78,3,2.32,12,0.5208008829014384,20.64,0,7.20853
R1,129.75,1,0.0,4,0.9104854910379001,17.12,0,3.35955
R1,112.98,3,2.77,12,0.5030026822581828,2.6,0,4.0551
R2,296.02,3,7.84,12,0.4737800009840306,9.81,0,21.85995
R1,356.9,3,2.13,12,0.5241020446240379,14.57,0,26.06636
R1,119.19,4,2.75,16,0.5393120478259406,11.79,0,9.85982
R1,187.16,4,0.54,16,0.614088211106006,22.44,0,5.84505
R1,198.4,4,3.58,16,0.850074875033054,2.03,0,6.77032
R2,90.16,3,6.25,12,0.8078799667642629,9.23,0,6.55003
R2,125.4,3,0.0,12,0.5356196849886055,17.0,0,6.21425
R2,233.92,3,2.74,12,0.8593019346344561,19.28,0,6.67165
R2,215.67,3,0.21,12,0.6626786032184977,17.12,0,4.24389
R1,112.79,1,3.63,4,0.4383729494436517,8.96,0,3.84091
R1,270.93,4,1.46,16,0.6846710329506073,16.4,0,20.12345
R1,281.6,4,1.26,16,0.6543543432109774,21.49,0,8.46183
R2,176.52,4,3.43,16,0.8118898978238468,13.34,0,10.5679
R2,101.22,4,5.22,16,0.7505469215980594,23.04,0,4.19457
R2,188.47,2,4.17,8,0.6134349211718353,8.17,0,6.31112
R2,191.01,3,4.03,12,0.23003525707852945,22.94,0,6.37524
R1,51.02,4,2.31,16,0.6948381335320672,11.37,0,4.61393
R2,212.02,3,3.0,12,0.5629709587891567,17.19,0,6.25547
R1,109.3,2,1.61,8,0.47057064100537105,8.96,0,3.50122
R2,116.77,5,3.61,20,0.44916938869639655,11.61,0,7.71108
R2,262.58,4,3.11,16,0.7530834954828475,22.57,0,7.9647
R2,280.94,3,4.21,12,0.8711778636562295,3.12,0,9.19756
R2,254.97,2,1.05,8,0.7145682451117293,8.47,0,5.52208
R2,216.88,4,2.48,16,0.6343199733871671,19.3,0,6.27234
R2,180.87,4,0.92,16,0.9143536203517435,1.56,0,4.13231
R1,102.4,4,3.65,16,0.6176001384491621,15.53,0,8.67407
R2,281.0,2,0.0,8,0.6358416117335921,20.4,0,5.05288
R2,250.82,0,0.0,0,0.6309798186265771,5.59,0,4.17333
R1,241.76,2,7.15,8,0.92925830955082,13.1,0,19.72753
R1,162.7,2,2.07,8,0.8919679195179109,11.24,0,12.23222
R2,212.79,3,2.31,12,0.8743180846841907,7.81,0,5.94194
R1,195.47,3,6.02,12,0.8843190128943988,19.5,0,7.2207
R1,415.18,0,0.3,0,0.8577284475795779,3.17,0,10.32673
R1,127.46,3,3.43,12,0.5399250237189313,22.72,0,4.48485
R2,136.31,3,7.3,12,0.9887300649218405,4.29,0,6.23395
R2,222.91,4,0.0,16,0.9832668458416242,16.16,0,10.51583
R2,217.77,3,1.41,12,0.8766873082743705,5.94,0,5.21923
R2,243.16,2,3.41,8,0.9247803402058257,8.52,0,7.27812
R1,102.45,2,2.81,8,0.8279755136900886,12.16,0,7.97328
R2,290.51,3,0.0,12,0.7607489825761886,8.52,0,5.16791
R2,175.4,2,2.43,8,0.9349703143433532,3.4,0,4.92989
R1,189.07,4,5.16,16,0.34829377405316064,8.97,0,7.00119
R1,306.94,3,1.19,12,0.46680037707285726,14.62,0,22.70437
R2,153.51,2,3.99,8,0.6028202660418527,18.44,0,5.29635
R2,183.04,3,7.5,12,0.2454170866288503,10.4,0,13.24639
R2,313.02,4,1.64,16,0.7616934357574359,7.22,0,7.71093
R2,119.07,3,5.15,12,0.8670917015852002,17.95,0,4.7444
R2,241.55,1,4.64,4,0.2787070742415281,0.62,0,8.29956
R2,312.01,3,0.0,12,0.9210514289782941,19.2,0,5.57113
R2,170.24,3,0.7,12,0.7513760148480985,14.93,0,8.43653
R2,90.5,3,4.94,12,0.8982522755220138,5.46,0,3.6981
R1,99.5,4,3.73,16,0.7743557741786296,21.3,0,3.92817
R2,129.41,3,5.15,12,0.819331023971375,20.55,0,5.06138
R1,80.39,3,4.27,12,0.570756715209761,23.31,0,3.38887
R2,174.69,2,4.65,8,0.7064016186430692,19.07,0,6.17101
R2,160.04,2,3.49,8,0.731741856037956,1.41,0,5.02495
R2,191.69,3,4.84,12,0.31899975858738827,0.05,0,6.85448
R1,162.32,3,0.51,12,0.7114483174225541,16.5,0,12.05308
R2,180.88,3,1.82,12,0.6084182380402061,21.51,0,4.69099
R1,339.16,4,2.51,16,0.2266024919706987,6.24,0,10.45137
R1,147.24,3,3.83,12,0.7428109768574649,5.86,0,5.15153
R1,172.03,4,0.48,16,0.18551706315801764,7.92,0,5.31517
R2,52.13,3,0.24,12,0.8747368485904394,19.04,0,1.60308
R1,241.57,3,1.81,12,0.30118389671330514,12.51,0,18.07832
R1,308.7,3,6.26,12,0.7208942943468626,17.09,0,11.06654
R2,113.74,2,2.03,8,0.8537823022958495,21.0,0,3.12996
R1,84.15,4,4.45,16,0.5144419251033244,1.52,0,3.63844
R2,136.35,2,1.79,8,0.7907628034835331,14.21,0,7.17634
R2,71.4,3,1.46,12,0.6463943887649665,11.82,0,4.04551
R2,164.12,4,1.32,16,0.828265306255341,13.35,0,8.74221
R2,76.75,2,4.16,8,0.6485142351874119,15.58,0,4.87248
R2,154.64,4,0.75,16,0.40237901083965344,0.31,0,3.65803
R2,253.15,2,3.99,8,0.3404344860960379,20.87,0,8.21823
R1,172.26,2,3.32,8,0.1807643752148831,4.35,0,5.48604
R1,79.18,4,3.81,16,0.8109249731858869,3.73,0,3.4328
R2,161.21,2,3.6,8,0.36636949447707723,1.17,0,5.12224
R2,118.24,1,3.86,4,0.86395003475236,1.62,0,3.91563
R2,290.06,2,2.54,8,0.8832318185290635,21.56,0,7.85109
R1,240.24,5,5.93,20,0.4381494299898888,20.24,0,9.05419
R2,215.93,4,1.39,16,0.657750086503341,20.89,0,5.36098
R2,215.59,2,2.19,8,0.23165871824417572,15.95,0,11.50558
R1,395.61,1,6.17,4,0.6992180873091689,14.47,0,31.47875
R2,226.06,3,0.81,12,0.8538410799941336,4.5,0,4.94064
R1,298.11,3,0.61,12,0.8706912074038102,19.5,0,8.10935
R1,345.75,3,3.11,12,0.6943581433400804,8.97,0,10.73716
R2,149.97,2,5.93,8,0.6974751194672356,2.35,0,5.97644
R1,155.24,4,0.5,16,0.5177964015632321,0.8,0,4.98158
R2,81.61,2,0.0,8,0.7765551456723687,9.16,0,4.09783
R1,127.02,2,2.67,8,0.2741978080446392,0.84,0,4.20822
R2,142.54,3,4.77,12,0.30942463409310605,10.33,0,9.12247
R2,220.15,4,2.51,16,0.5758495572172724,10.56,0,12.48097
R2,395.28,1,1.84,4,0.8848951101783997,9.51,0,20.21692
R2,381.61,1,0.0,4,0.21338954755725048,7.59,0,6.43253
R2,179.27,3,0.0,12,0.701410040198585,1.1,0,3.62972
R2,145.46,1,1.56,4,0.7969171289755441,17.91,0,3.34461
R1,168.69,5,0.0,20,0.7170265765789763,13.07,0,13.02084
R1,227.32,3,4.62,12,0.4955529479341254,23.44,0,7.84332
R2,190.94,3,4.14,12,0.9100305580590243,12.41,0,11.8262
R2,199.43,2,4.63,8,0.8031044034130851,20.87,0,6.94763
R2,241.33,3,6.37,12,0.18320022671677205,17.5,0,9.94213
R1,185.43,3,6.56,12,0.9819324386083482,1.65,0,6.86996
R1,131.95,3,2.61,12,0.3128200866964297,4.29,0,4.49003
R2,210.4,4,4.37,16,0.3911051536192397,23.81,0,7.4392
R1,198.6,1,3.07,4,0.9673358035284952,17.62,0,5.8974
R2,228.86,3,1.5,12,0.6665530938828628,4.63,0,5.53006
R1,276.04,2,1.77,8,0.7645677879074041,4.87,0,8.00201
R1,194.78,5,8.0,20,0.49944463128649996,16.51,0,16.74751
R1,385.99,3,0.0,12,0.43497916687368343,1.28,0,10.09378
R2,189.68,4,0.0,16,0.5512524588924785,19.43,0,3.8387
R2,196.51,3,1.22,12,0.8273203865445306,21.3,0,4.68573
R2,135.42,2,2.98,8,0.47711892009465773,14.04,0,7.7947
R2,132.15,4,2.76,16,0.6735367739305682,15.71,0,7.76347
R2,96.82,4,6.09,16,0.5438949979625537,12.62,0,7.04046
R1,108.82,2,0.0,8,0.5140394402694367,13.11,0,8.10081
R2,329.73,3,2.79,12,0.737713773421335,3.43,0,9.21932
R1,165.75,3,3.94,12,0.8403928996355552,4.22,0,5.63995
R2,293.96,3,3.07,12,0.2577870745401891,23.24,0,8.56254
R2,77.37,3,2.03,12,0.36169732934723287,16.63,0,4.54895
R2,180.19,2,6.73,8,0.949117786048674,11.18,0,12.65105
R2,279.8,3,5.84,12,0.3280194156397783,22.5,0,10.9512
R2,147.3,5,2.43,20,0.8756418754221128,18.82,0,4.5439
R1,94.17,4,5.28,16,0.49556837545688737,12.09,0,8.24442
R1,301.92,5,2.55,20,0.33163523022348274,3.96,0,9.82268
R2,93.04,4,3.89,16,0.7192574302090557,10.02,0,6.06751
R2,90.72,3,0.49,12,0.7806839350067224,16.41,0,4.70882
R1,124.87,3,1.99,12,0.5342968052086565,18.22,0,4.04318
R2,92.9,3,0.0,12,0.17528200350677448,21.79,0,2.20765
R1,205.2,3,3.35,12,0.7364291291394007,19.19,0,6.695
R1,227.27,3,4.68,12,0.41830776618831245,20.47,0,7.92979
R2,132.15,3,4.3,12,0.5690870901880395,13.8,0,8.42338
R2,254.16,4,0.86,16,0.5126638355856673,1.14,0,5.46918
R2,184.69,3,1.28,12,0.9327955600270375,13.02,0,9.72832
R2,238.01,2,3.67,8,0.772385336880506,1.79,0,7.60438
R1,158.33,3,5.47,12,0.7222345646182158,20.37,0,5.91822
R2,388.38,1,5.37,4,0.7862629706520645,20.15,0,13.99755
R2,186.71,5,0.82,20,0.5709282557547748,3.62,0,4.43868
R1,67.96,4,0.0,16,0.8793976662952228,2.13,0,2.65293
R2,187.5,3,1.01,12,0.16661077626146603,22.13,0,4.41104
R2,360.95,3,1.99,12,0.6025098257336245,10.1,0,18.91882
R1,185.23,3,1.62,12,0.8835641859833866,15.39,0,13.98312
R2,163.01,3,3.49,12,0.2727353873817058,6.6,0,5.38265
R1,138.42,4,4.19,16,0.44579141673124967,15.6,0,11.58676
R1,302.42,4,0.0,16,0.17394465597908548,19.31,0,8.46741
R2,259.36,2,5.72,8,0.8172069709743454,23.33,0,9.96151
R1,328.48,1,0.0,4,0.7261957931623549,23.72,0,8.33105
R2,188.45,3,3.71,12,0.8256392548170561,18.31,0,6.17161
R2,152.2,4,5.73,16,0.7304757141787266,19.47,0,6.4752
R1,190.38,5,5.32,20,0.43993241529752114,11.1,0,15.98612
R2,203.15,3,0.66,12,0.7510242803265195,1.09,0,4.40285
R2,97.98,2,0.0,8,0.9732517277760291,7.89,0,1.97922
R1,149.78,4,6.4,16,0.38869819220378055,7.06,0,5.98587
R1,98.25,1,5.65,4,0.830788502754844,22.68,0,3.49429
R1,307.16,1,1.66,4,0.38398949526216564,10.02,0,22.40737
R2,322.91,4,2.3,16,0.3387359437623322,13.37,0,17.37744
R1,253.8,2,5.45,8,0.8552934083547973,19.43,0,8.52824
R2,132.66,4,1.88,16,0.7050432611322177,11.14,0,7.44018
R2,238.38,3,1.82,12,0.8250515790094627,18.82,0,6.14789
R2,213.93,3,2.04,12,0.3730001055842328,23.35,0,5.54295
R2,166.09,2,4.69,8,0.5862138568241931,2.04,0,5.98851
R2,177.41,2,1.11,8,0.9355810657699785,18.76,0,4.02683
R2,172.77,3,0.0,12,0.6555715550077772,13.03,0,8.23705
R1,138.96,4,1.16,16,0.5471601036284128,5.14,0,4.6839
R2,152.84,3,3.88,12,0.2833906746638736,14.2,0,9.30632
R1,276.86,3,1.23,12,0.671333536529894,0.76,0,8.17568
R1,162.63,3,7.17,12,0.8315868232657287,4.87,0,6.55343
R2,112.17,3,4.83,12,0.7399582688751145,18.48,0,4.34679
R1,128.96,5,1.71,20,0.3317938402412287,19.56,0,4.78484
R2,89.56,3,3.95,12,0.36845316242569337,0.43,0,3.3677
R1,108.34,2,4.25,8,0.6064997800140279,6.95,0,3.87717
R2,183.75,2,3.44,8,0.5172556231721248,23.37,0,5.56488
R1,93.83,2,1.35,8,0.49474741986078885,8.86,0,2.98849
R2,198.67,3,4.31,12,0.6240743107225577,11.71,0,12.48579
R1,161.84,3,2.56,12,0.7506133928831943,20.22,0,5.24082
R2,181.73,1,2.04,4,0.35216098310737565,0.06,0,4.50834
R2,336.62,2,1.29,8,0.36592203076932284,4.81,0,7.29431
R2,195.68,2,5.83,8,0.8540241197760731,7.63,0,7.83445
R1,99.65,2,4.07,8,0.9072703615129093,19.13,0,3.36999
R1,104.32,4,3.53,16,0.43318121616324357,22.14,0,4.16784
R1,71.04,3,2.88,12,0.49475945723804926,9.37,0,6.009
R2,112.93,3,0.71,12,0.9974506494627067,9.99,0,5.78112
R2,97.17,3,0.0,12,0.5931184742584821,18.41,0,2.11906
R1,221.39,2,0.41,8,0.7731366516155157,9.98,0,15.95887
R1,141.59,3,2.74,12,0.5314811222907994,9.56,0,10.93172
R1,246.01,3,3.34,12,0.3436205106145066,13.32,0,19.11432
R1,124.69,1,6.18,4,0.5330202706564453,22.74,0,4.18483
R2,173.19,3,1.3,12,0.8985509354983628,7.19,0,4.14093
R2,99.58,3,1.67,12,0.2591499821115846,0.99,0,2.7622
R2,169.78,3,0.0,12,0.794456741089568,1.19,0,3.20213
R1,123.45,1,1.61,4,0.8953946180010244,3.15,0,3.43904
R1,160.31,2,4.75,8,0.562947139736761,18.67,0,5.50867
R2,113.02,2,4.7,8,0.28864642516955386,20.48,0,4.08995
R1,197.84,4,0.98,16,0.8712270835535272,0.72,0,5.92887
R2,54.56,4,1.51,16,0.6793305143392627,14.77,0,3.47897
R2,198.77,3,3.46,12,0.6450233367268654,4.74,0,6.26308
R1,188.55,2,0.27,8,0.8634672272389772,4.31,0,5.37268
R1,108.76,2,0.0,8,0.6130291296217525,15.51,0,8.11336
R2,213.08,3,1.99,12,0.8453660083682147,7.67,0,5.5259
R2,142.3,3,5.65,12,0.7549065803682604,21.36,0,5.5606
R2,103.74,1,0.0,4,0.6975944985664063,14.49,0,4.88411
R1,193.56,4,1.85,16,0.6860200924884934,15.91,0,14.76762
R1,86.14,2,2.75,8,0.7416965067558363,23.35,0,2.90455
R2,126.44,2,1.18,8,0.4243879726046662,23.8,0,3.08015
R2,107.26,4,4.23,16,0.9251276178021569,12.65,0,7.17556
R2,103.45,4,3.9,16,0.6673473886253696,19.86,0,3.8589
R2,126.77,3,0.56,12,0.3969658342536899,9.15,0,6.38995
R2,307.82,4,3.23,16,0.3197846968590673,22.16,0,9.41988
R2,178.29,1,4.29,4,0.34117178703817586,6.6,0,6.00103
R2,142.95,3,5.12,12,0.6058864526351777,10.36,0,9.40531
R1,124.04,4,4.48,16,0.7549959445947522,1.62,0,4.62975
R1,95.45,4,4.76,16,0.6683769953161428,7.21,0,4.06991
R1,70.59,3,4.0,12,0.6654856707099261,10.83,0,6.06477
R2,175.3,3,2.7,12,0.791018297816438,9.35,0,10.02039
R2,225.75,3,1.12,12,0.6306959969585597,0.69,0,5.22716
R1,207.63,2,4.16,8,0.3489816835939298,23.24,0,6.69692
R2,131.47,2,6.18,8,0.7706802576121267,4.1,0,5.33282
R2,185.94,2,5.86,8,0.4479119665660215,23.49,0,7.2117
R1,206.95,2,3.38,8,0.9751952328490561,13.8,0,15.85183
R2,337.28,0,2.09,0,0.6927152885934362,11.23,0,17.60287
R2,335.76,5,0.79,20,0.727946294796212,0.54,0,7.16476
R1,322.74,3,0.86,12,0.7334542323732802,12.91,0,23.854
R2,203.3,3,6.1,12,0.5600743215492887,20.56,0,8.30817
R1,272.78,3,7.39,12,0.35955312146660967,4.82,0,10.198
R2,80.24,4,3.26,16,0.8925947667790873,7.81,0,3.10426
R1,384.65,3,2.62,12,0.24956729214770856,18.5,0,11.62664
R1,258.42,2,1.56,8,0.3796845098453643,19.92,0,7.57685
R2,86.23,1,0.0,4,0.9191353131633097,10.18,0,3.93947
R1,264.74,3,7.02,12,0.7343151344088561,8.15,0,9.88298
R1,418.51,2,2.8,8,0.669383644732497,22.14,0,12.25773
R2,305.27,2,0.0,8,0.44367684310342004,2.59,0,5.26379
R1,185.03,2,4.14,8,0.6611564155291666,19.1,0,5.92609
R1,152.22,1,1.61,4,0.7101101680945416,23.22,0,4.35952
R1,134.4,4,4.47,16,0.7749063246605641,18.53,0,5.04471
R1,77.38,2,1.28,8,0.6856298197483996,17.16,0,2.5969
R1,86.83,3,2.91,12,0.7533384656317343,0.12,0,3.15378
R1,377.47,3,6.29,12,0.840541673962826,18.4,0,13.31301
R1,105.72,3,2.36,12,0.8952825024443577,16.33,0,8.36421
R2,81.81,2,3.75,8,0.9144408431429359,13.03,0,5.11962
R1,177.74,3,4.77,12,0.5930692968406339,9.91,0,14.35427
R1,100.45,3,1.08,12,0.651043889343069,11.2,0,7.91764
R1,219.32,4,5.06,16,0.4462268971047778,6.22,0,7.7009
R1,104.59,2,7.16,8,0.7315648630121212,17.26,0,4.29475
R2,117.25,4,2.38,16,0.523885546151314,12.51,0,6.89232
R1,127.08,2,3.05,8,0.7914130862033049,6.77,0,4.27459
R1,102.52,3,7.7,12,0.95159352049029,23.8,0,4.54118
R2,236.5,3,3.32,12,0.8477699060829161,5.61,0,7.17947
R1,144.0,2,1.05,8,0.818029527418245,6.44,0,4.21977
R1,301.03,3,4.87,12,0.4823715225627152,3.59,0,10.11465
R2,154.02,4,2.72,16,0.5147728497951656,12.53,0,9.02288
R1,217.2,4,1.07,16,0.8385864240289251,5.74,0,6.74141
R1,194.97,3,3.39,12,0.8111069741259453,12.96,0,15.24119
R1,243.33,2,0.48,8,0.863500779058851,20.22,0,6.5208
R2,90.27,2,0.0,8,0.6743318724041923,17.59,0,1.84292
R2,139.88,4,7.01,16,0.7535931207725584,4.33,0,6.65346
R1,152.58,2,1.74,8,0.5557656058337171,5.85,0,4.65251
R1,161.68,3,7.24,12,0.5885013569354124,1.98,0,6.35686
R1,223.1,3,0.0,12,0.8355106762096574,10.87,0,16.08673
R2,71.28,3,6.05,12,0.5455081368800652,0.67,0,3.3191
R1,119.73,3,0.94,12,0.5500689862139798,22.44,0,3.88396
R1,254.7,2,2.67,8,0.2084385356643137,1.22,0,7.66172
R1,356.64,0,2.82,0,0.8199178294772989,23.76,0,10.25662
R1,231.85,3,4.5,12,0.6931505418801394,1.98,0,8.02336
R1,145.5,4,6.13,16,0.8781109508335534,0.37,0,5.76327
R2,192.35,3,1.9,12,0.9333445494160755,19.68,0,4.93992
R2,153.19,3,3.75,12,0.5447591697139675,1.36,0,5.05345
R2,268.83,3,1.04,12,0.7091038873944013,15.07,0,13.45363
R1,165.9,4,0.5,16,0.6962192034458641,2.48,0,5.21902
R2,117.49,4,5.07,16,0.5410471980752413,15.08,0,8.22535
R1,202.83,1,4.97,4,0.8977959252924543,10.32,0,15.74702
R2,100.82,3,1.74,12,0.9672899832242435,21.63,0,2.82526
R1,103.89,3,3.42,12,0.09756598325105348,11.82,0,11.52283
R2,332.52,5,1.72,20,0.7270081376153626,18.0,0,8.23243
R1,53.56,3,1.62,12,0.6077220888616616,19.89,0,2.24764
R2,100.41,1,2.6,4,0.5393204285817728,11.99,0,5.8309
R1,276.18,3,2.6,12,0.9313394431631741,14.09,0,21.14177
R1,186.86,3,0.59,12,0.4148522853180404,23.01,0,5.47357
R1,101.91,5,6.49,20,0.17053426425073515,17.33,0,4.69866
R1,106.65,3,2.93,12,0.7509201621668633,17.52,0,3.78676
R2,247.03,4,3.46,16,0.9223344562297882,4.67,0,7.65088
R1,145.92,2,0.85,8,0.9101835271791447,14.23,0,10.74692
R2,378.12,3,0.0,12,0.7388482006308109,9.06,0,17.0979
R2,83.29,1,3.68,4,0.6026468059167398,7.56,0,2.69697
R1,132.77,1,1.83,4,0.7086399441754152,8.04,0,3.79332
R2,265.32,2,5.13,8,0.649830946980514,18.88,0,9.61704
R2,281.97,1,1.15,4,0.8521101938611217,12.75,0,13.92905
R1,145.47,2,6.03,8,0.6048298497511722,7.71,0,5.38658
R1,136.91,3,0.66,12,0.31381057705494786,15.63,0,10.61163
R2,101.85,4,0.0,16,0.714330756472249,4.74,0,2.38414
R1,162.47,3,5.81,12,0.6344923876816286,13.44,0,13.22741
R1,259.57,3,3.46,12,0.7453540418366593,23.7,0,8.41968
R1,89.14,3,0.79,12,0.887218047974497,11.78,0,6.89064
R1,228.53,6,1.05,24,0.7163537918881184,2.91,0,7.37293
R1,129.96,1,2.73,4,0.7599348647853243,3.23,0,4.02166
R1,231.37,2,5.85,8,0.5001396584288698,9.38,0,18.58542
R2,88.85,2,3.03,8,0.5214753248059513,9.29,0,5.35748
R1,124.34,4,8.21,16,0.5607072936237262,23.09,0,5.47964
R1,76.93,4,2.35,16,0.4820153560411615,22.44,0,3.12881
R2,82.59,3,0.88,12,0.44159446835998684,21.06,0,2.17425
R2,253.47,4,2.58,16,0.667334253049498,3.68,0,7.30401
R2,167.23,1,5.7,4,0.6331989696302638,22.18,0,6.3658
R1,269.66,3,4.86,12,0.4324345253982128,3.98,0,9.08925
R2,62.8,2,2.29,8,0.6577984017399003,4.43,0,2.04037
R1,140.85,3,2.39,12,0.7037697000062426,10.07,0,11.11223
R1,113.01,4,1.32,16,0.4912796399556735,13.14,0,8.95244
R2,191.88,3,6.75,12,0.6883229834489015,13.41,0,13.72874
R2,269.54,3,3.11,12,0.579120389343732,13.71,0,15.95491
R2,226.3,4,4.7,16,0.9170506381902856,3.63,0,8.32566
R1,100.48,4,0.0,16,0.8647855912143164,11.38,0,8.04455
R1,137.93,4,0.28,16,0.625523279106897,21.69,0,4.62652
R2,363.47,2,1.36,8,0.7245524534544714,23.61,0,8.1056
R2,72.97,3,3.8,12,0.7175756892689984,6.48,0,2.68705
R1,231.37,1,0.0,4,0.5049456385429438,17.92,0,5.98252
R1,159.28,2,0.97,8,0.28870272345478976,15.84,0,11.68946
R2,294.88,3,0.0,12,0.5067095731915736,1.61,0,5.39781
R1,390.7,3,7.12,12,0.9704433614624856,7.61,0,14.315
R1,139.32,4,3.19,16,0.8393965076291573,21.42,0,4.99155
R2,240.32,3,2.18,12,0.5503521460001154,21.05,0,6.4145
R1,284.73,4,1.4,16,0.875353039029826,11.78,0,21.39996
R1,237.8,3,5.64,12,0.629847273613485,8.84,0,8.49482
R2,88.62,2,1.24,8,0.5867346435652006,17.82,0,2.29633
R1,147.66,3,5.62,12,0.4184019227575141,23.35,0,5.60103
R2,122.02,3,2.99,12,0.9035972345928962,9.53,0,7.08243
R2,136.21,5,5.06,20,0.7827624683415406,20.9,0,5.44658
R1,187.35,3,5.63,12,0.6913902632708524,11.92,0,15.04396
R1,222.62,4,2.11,16,0.7958459551115625,5.91,0,6.94843
R1,237.97,4,0.8,16,0.6713612089584884,3.94,0,7.10331
R2,177.46,4,2.02,16,0.6931472620816139,22.3,0,4.81055
R2,85.46,4,6.22,16,0.8434335035997846,10.02,0,6.42913
R2,108.08,3,0.0,12,0.7786497301632851,19.38,0,2.40749
R1,225.98,4,2.3,16,0.5305625593105887,0.32,0,7.30313
R1,144.03,3,5.32,12,0.36071286206826714,23.33,0,5.3234
R2,221.23,2,0.95,8,0.5672391676778946,18.56,0,4.87967
R2,180.39,3,2.12,12,0.45562679675860107,10.59,0,9.92922
R1,292.15,2,0.0,8,0.7036427426128702,8.69,0,7.78614
R2,273.36,3,8.86,12,0.5255251278841045,22.51,0,13.73625
R1,145.39,5,0.41,20,0.79013415594326,11.01,0,11.28161
R2,367.42,3,5.16,12,0.6891214616654602,20.24,0,13.11995
R1,112.97,3,7.78,12,0.5691114223308227,17.61,0,4.76991
R1,131.87,4,1.71,16,0.68464850406243,5.03,0,4.39979
R1,113.85,5,0.0,20,0.2486839606438095,9.37,0,9.12214
R1,153.09,4,2.1,16,0.3957889079382513,10.81,0,12.11571
R2,339.39,5,3.98,20,0.45748661003107904,13.47,0,20.50175
R2,260.86,3,5.14,12,0.7343534274867962,4.93,0,9.41581
R1,61.26,2,0.0,8,0.3937811313631442,9.44,0,4.78616
R2,161.64,4,1.6,16,0.7060266763220775,11.43,0,8.73701
R2,108.38,3,2.39,12,0.7378818586887474,22.61,0,3.28235
R1,187.79,4,4.79,16,0.7458243621625293,20.73,0,6.97229
R1,173.77,2,2.62,8,0.8420683306034826,22.82,0,5.47947
R1,341.09,2,3.71,8,0.6638603525300878,23.01,0,10.60041
R1,175.99,2,0.0,8,0.5251466302437345,1.61,0,4.84579
R2,177.25,3,6.52,12,0.23766835982065304,15.14,0,12.57274
R2,245.37,1,4.45,4,0.7651593802688668,21.76,0,8.07086
R2,240.92,1,4.23,4,0.87281192904616,3.4,0,7.77173
R1,323.2,5,5.62,20,0.7035429207818741,8.7,0,11.35869
R2,259.57,1,0.98,4,0.5192046308146648,18.66,0,5.33809
R2,252.64,4,4.9,16,0.7459419244702994,18.66,0,9.48882
R1,76.13,3,2.6,12,0.5994040054549636,16.53,0,6.18921
R2,150.1,3,1.59,12,0.40761303381336966,16.38,0,8.13099
R2,324.08,1,0.96,4,0.4096093248165744,15.94,0,15.4688
R1,96.32,3,2.15,12,0.3401269374107698,19.75,0,3.33399
R1,266.57,3,0.98,12,0.3282206120010467,5.14,0,7.50735
R1,133.7,3,0.0,12,0.6882940490286344,0.84,0,3.92958
R1,277.05,3,4.85,12,0.10668444155768975,6.69,0,9.72258
R2,93.43,1,8.13,4,0.6143692870702049,10.95,0,7.23122
R2,126.05,3,4.74,12,0.3102373951287134,20.32,0,4.76509
R1,305.1,3,1.74,12,0.5143000084786951,0.0,0,9.00295
R2,192.68,3,5.92,12,0.1407518377360153,18.47,0,7.70052
R2,188.28,2,1.45,8,0.849355239190513,19.44,0,4.49687
R2,53.34,3,0.0,12,0.8995349738874391,5.21,0,1.48275
R2,212.56,3,3.2,12,0.2980657599599057,17.49,0,6.62948
R1,93.07,6,5.88,24,0.4445931019338202,19.13,0,4.51674
R2,84.38,2,1.03,8,0.6237893277650371,17.82,0,2.08803
R2,165.69,2,1.46,8,0.9519604388378468,22.29,0,4.03942
R2,263.5,2,3.59,8,0.4216924846610316,22.07,0,8.09304
R2,132.34,2,4.9,8,0.3268175546784705,4.78,0,4.76234
R2,170.13,4,3.02,16,0.9088701059501378,13.63,0,10.10953
R1,115.06,2,5.97,8,0.5656784855285839,17.64,0,4.38947
R2,194.02,3,3.57,12,0.9855020226656223,7.23,0,6.06039
